county,year,temp_anomaly_c,hot_days_above_35c,tropical_nights,source
Mombasa,2021,1.22,33,19,Simulated Data
Mombasa,2022,0.81,31,21,Simulated Data
Mombasa,2023,1.27,35,22,Simulated Data
Mombasa,2024,0.66,24,17,Simulated Data
Kisumu,1991,0.09,0,0,Simulated Data
Kisumu,1992,0.16,0,0,Simulated Data
Kisumu,1993,0.1,0,1,Simulated Data
Kisumu,1994,-0.13,0,0,Simulated Data
Kisumu,1995,-0.02,0,1,Simulated Data
Kisumu,1996,0.43,0,0,Simulated Data
Kisumu,1997,-0.15,0,0,Simulated Data
Kisumu,1998,0.01,0,0,Simulated Data
Kisumu,1999,0.55,0,2,Simulated Data
Kisumu,2000,0.27,0,0,Simulated Data
Kisumu,2001,0.06,0,0,Simulated Data
Kisumu,2002,-0.05,0,0,Simulated Data
Kisumu,2003,0.71,0,2,Simulated Data
Kisumu,2004,0.29,0,3,Simulated Data
Kisumu,2005,0.36,0,3,Simulated Data
Kisumu,2006,0.73,0,0,Simulated Data
Kisumu,2007,0.76,0,0,Simulated Data
Kisumu,2008,0.56,0,1,Simulated Data
Kisumu,2009,0.6,0,1,Simulated Data
Kisumu,2010,0.96,0,0,Simulated Data
Kisumu,2011,0.9,0,1,Simulated Data
Kisumu,2012,0.79,0,0,Simulated Data
Kisumu,2013,0.91,0,2,Simulated Data
Kisumu,2014,1.02,0,0,Simulated Data
Kisumu,2015,0.96,0,1,Simulated Data
Kisumu,2016,0.99,0,0,Simulated Data
Kisumu,2017,0.68,0,0,Simulated Data
Kisumu,2018,0.44,0,0,Simulated Data
Kisumu,2019,0.67,0,0,Simulated Data
Kisumu,2020,0.5,0,0,Simulated Data
Kisumu,2021,0.6,0,2,Simulated Data
Kisumu,2022,0.7,0,0,Simulated Data
Kisumu,2023,0.6,0,0,Simulated Data
Kisumu,2024,1.1,0,3,Simulated Data
Nakuru,1991,0.01,0,2,Simulated Data
Nakuru,1992,-0.15,0,0,Simulated Data
Nakuru,1993,-0.32,0,2,Simulated Data
Nakuru,1994,0.25,0,0,Simulated Data
Nakuru,1995,-0.15,0,0,Simulated Data
Nakuru,1996,0.32,0,0,Simulated Data
Nakuru,1997,0.54,0,0,Simulated Data
Nakuru,1998,0.3,0,0,Simulated Data
Nakuru,1999,0.12,0,0,Simulated Data
Nakuru,2000,-0.04,0,0,Simulated Data
Nakuru,2001,0.58,0,0,Simulated Data
Nakuru,2002,0.01,0,0,Simulated Data
Nakuru,2003,0.1,0,0,Simulated Data
Nakuru,2004,0.48,0,0,Simulated Data
Nakuru,2005,0.32,0,0,Simulated Data
Nakuru,2006,0.74,0,0,Simulated Data
Nakuru,2007,0.14,0,0,Simulated Data
Nakuru,2008,0.58,0,0,Simulated Data
Nakuru,2009,0.45,0,0,Simulated Data
Nakuru,2010,0.61,0,0,Simulated Data
Nakuru,2011,0.97,0,0,Simulated Data
Nakuru,2012,0.29,0,0,Simulated Data
Nakuru,2013,0.34,0,0,Simulated Data
Nakuru,2014,0.55,0,0,Simulated Data
Nakuru,2015,0.97,0,0,Simulated Data
Nakuru,2016,0.91,0,2,Simulated Data
Nakuru,2017,0.97,0,0,Simulated Data
Nakuru,2018,0.55,0,2,Simulated Data
Nakuru,2019,1.23,0,0,Simulated Data
Nakuru,2020,1.09,0,3,Simulated Data
Nakuru,2021,1.19,0,2,Simulated Data
Nakuru,2022,1.13,0,2,Simulated Data
Nakuru,2023,0.96,0,0,Simulated Data
Nakuru,2024,1.31,0,0,Simulated Data
Eldoret,1991,0.32,0,0,Simulated Data
Eldoret,1992,0.39,0,0,Simulated Data
Eldoret,1993,0.17,0,0,Simulated Data
Eldoret,1994,-0.05,0,2,Simulated Data
Eldoret,1995,0.35,0,0,Simulated Data
Eldoret,1996,0.15,0,0,Simulated Data
Eldoret,1997,0.13,0,0,Simulated Data
Eldoret,1998,-0.1,0,2,Simulated Data
Eldoret,1999,0.33,0,0,Simulated Data
Eldoret,2000,0.43,0,2,Simulated Data
Eldoret,2001,0.46,0,0,Simulated Data
Eldoret,2002,0.72,0,0,Simulated Data
Eldoret,2003,0.61,0,3,Simulated Data
Eldoret,2004,0.59,0,0,Simulated Data
Eldoret,2005,0.64,0,0,Simulated Data
Eldoret,2006,0.78,0,0,Simulated Data
Eldoret,2007,0.09,0,0,Simulated Data
Eldoret,2008,0.21,0,1,Simulated Data
Eldoret,2009,0.74,0,3,Simulated Data
Eldoret,2010,0.47,0,2,Simulated Data
Eldoret,2011,0.38,0,0,Simulated Data
Eldoret,2012,1.01,0,2,Simulated Data
Eldoret,2013,0.68,0,0,Simulated Data
Eldoret,2014,0.73,0,0,Simulated Data
Eldoret,2015,0.82,0,0,Simulated Data
Eldoret,2016,0.85,0,2,Simulated Data
Eldoret,2017,0.42,0,3,Simulated Data
Eldoret,2018,1.12,0,1,Simulated Data
Eldoret,2019,0.66,0,0,Simulated Data
Eldoret,2020,0.75,0,0,Simulated Data
Eldoret,2021,1.28,0,1,Simulated Data
Eldoret,2022,0.96,0,2,Simulated Data
Eldoret,2023,1.11,0,2,Simulated Data
Eldoret,2024,1.25,0,1,Simulated Data
Garissa,1991,0.09,57,37,Simulated Data
Garissa,1992,0.32,55,30,Simulated Data
Garissa,1993,-0.04,60,39,Simulated Data
Garissa,1994,-0.19,56,33,Simulated Data
Garissa,1995,0.5,64,40,Simulated Data
Garissa,1996,0.12,57,33,Simulated Data
Garissa,1997,-0.17,59,37,Simulated Data
Garissa,1998,0.61,67,41,Simulated Data
Garissa,1999,0.46,65,41,Simulated Data
Garissa,2000,0.07,57,32,Simulated Data
Garissa,2001,0.66,63,36,Simulated Data
Garissa,2002,0.47,62,36,Simulated Data
Garissa,2003,0.05,59,36,Simulated Data
Garissa,2004,0.61,62,39,Simulated Data
Garissa,2005,0.46,61,39,Simulated Data
Garissa,2006,0.37,56,31,Simulated Data
Garissa,2007,0.68,63,39,Simulated Data
Garissa,2008,0.28,55,30,Simulated Data
Garissa,2009,0.42,61,36,Simulated Data
Garissa,2010,0.52,65,38,Simulated Data
Garissa,2011,0.61,65,38,Simulated Data
Garissa,2012,0.73,66,42,Simulated Data
Garissa,2013,0.38,64,38,Simulated Data
Garissa,2014,0.5,60,39,Simulated Data
Garissa,2015,0.71,61,37,Simulated Data
Garissa,2016,0.54,57,32,Simulated Data
Garissa,2017,0.48,57,32,Simulated Data
Garissa,2018,0.92,61,36,Simulated Data
Garissa,2019,1.16,66,41,Simulated Data
Garissa,2020,0.61,59,33,Simulated Data
Garissa,2021,0.64,60,34,Simulated Data
Garissa,2022,0.6,58,35,Simulated Data
Garissa,2023,0.73,61,37,Simulated Data
Garissa,2024,1.14,61,38,Simulated Data
Turkana,1991,0.1,70,44,Simulated Data
Turkana,1992,0.37,72,42,Simulated Data
Turkana,1993,0.3,78,45,Simulated Data
Turkana,1994,-0.14,71,43,Simulated Data
Turkana,1995,0.21,74,44,Simulated Data
Turkana,1996,0.35,72,42,Simulated Data
Turkana,1997,0.35,80,48,Simulated Data
Turkana,1998,0.24,72,43,Simulated Data
Turkana,1999,0.27,73,42,Simulated Data
Turkana,2000,0.17,70,41,Simulated Data
Turkana,2001,0.07,72,41,Simulated Data
Turkana,2002,0.64,80,49,Simulated Data
Turkana,2003,0.59,78,44,Simulated Data
Turkana,2004,0.42,78,48,Simulated Data
Turkana,2005,0.37,73,43,Simulated Data
Turkana,2006,0.34,78,47,Simulated Data
Turkana,2007,0.36,81,49,Simulated Data
Turkana,2008,0.3,72,41,Simulated Data
Turkana,2009,0.34,73,42,Simulated Data
Turkana,2010,0.4,74,47,Simulated Data
Turkana,2011,0.26,76,45,Simulated Data
Turkana,2012,1.02,78,46,Simulated Data
Turkana,2013,1.04,86,54,Simulated Data
Turkana,2014,0.5,74,45,Simulated Data
Turkana,2015,1.06,83,50,Simulated Data
Turkana,2016,0.57,81,47,Simulated Data
Turkana,2017,0.64,78,47,Simulated Data
Turkana,2018,0.6,75,46,Simulated Data
Turkana,2019,0.67,80,46,Simulated Data
Turkana,2020,0.85,81,46,Simulated Data
Turkana,2021,0.77,76,43,Simulated Data
Turkana,2022,1.32,82,51,Simulated Data
Turkana,2023,0.76,81,50,Simulated Data
Turkana,2024,1.07,82,49,Simulated Data
Marsabit,1991,-0.12,0,2,Simulated Data
Marsabit,1992,0.4,0,1,Simulated Data
Marsabit,1993,0.41,0,0,Simulated Data
Marsabit,1994,0.28,0,2,Simulated Data
Marsabit,1995,-0.17,0,0,Simulated Data
Marsabit,1996,-0.12,0,2,Simulated Data
Marsabit,1997,0.31,0,0,Simulated Data
Marsabit,1998,0.51,0,2,Simulated Data
Marsabit,1999,0.19,0,0,Simulated Data
Marsabit,2000,0.11,0,0,Simulated Data
Marsabit,2001,0.09,0,0,Simulated Data
Marsabit,2002,0.36,0,1,Simulated Data
Marsabit,2003,0.05,0,1,Simulated Data
Marsabit,2004,0.26,0,2,Simulated Data
Marsabit,2005,0.52,0,2,Simulated Data
Marsabit,2006,0.68,0,0,Simulated Data
Marsabit,2007,0.28,0,0,Simulated Data
Marsabit,2008,0.57,0,2,Simulated Data
Marsabit,2009,0.41,0,0,Simulated Data
Marsabit,2010,0.85,0,0,Simulated Data
Marsabit,2011,0.84,0,0,Simulated Data
Marsabit,2012,0.81,0,1,Simulated Data
Marsabit,2013,0.82,0,0,Simulated Data
Marsabit,2014,0.57,0,2,Simulated Data
Marsabit,2015,0.79,0,0,Simulated Data
Marsabit,2016,1.11,0,1,Simulated Data
Marsabit,2017,0.78,0,0,Simulated Data
Marsabit,2018,1.11,0,0,Simulated Data
Marsabit,2019,1.0,0,1,Simulated Data
Marsabit,2020,0.59,0,1,Simulated Data
Marsabit,2021,0.84,0,3,Simulated Data
Marsabit,2022,1.27,0,0,Simulated Data
Marsabit,2023,1.35,0,0,Simulated Data
Marsabit,2024,1.33,0,0,Simulated Data
Mandera,1991,0.07,70,39,Simulated Data
Mandera,1992,-0.1,73,41,Simulated Data
Mandera,1993,-0.07,69,42,Simulated Data
Mandera,1994,0.43,72,42,Simulated Data
Mandera,1995,0.31,72,42,Simulated Data
Mandera,1996,0.11,68,39,Simulated Data
Mandera,1997,0.18,71,45,Simulated Data
Mandera,1998,0.1,72,44,Simulated Data
Mandera,1999,-0.15,71,41,Simulated Data
Mandera,2000,0.64,72,43,Simulated Data
Mandera,2001,-0.03,75,45,Simulated Data
Mandera,2002,0.41,69,43,Simulated Data
Mandera,2003,0.13,75,43,Simulated Data
Mandera,2004,0.14,67,40,Simulated Data
Mandera,2005,0.47,70,44,Simulated Data
Mandera,2006,0.41,74,44,Simulated Data
Mandera,2007,0.4,74,42,Simulated Data
Mandera,2008,0.26,76,48,Simulated Data
Mandera,2009,0.44,72,44,Simulated Data
Mandera,2010,0.5,70,40,Simulated Data
Mandera,2011,0.77,78,44,Simulated Data
Mandera,2012,0.41,71,44,Simulated Data
Mandera,2013,0.28,69,43,Simulated Data
Mandera,2014,0.43,75,43,Simulated Data
Mandera,2015,0.4,71,44,Simulated Data
Mandera,2016,1.03,82,49,Simulated Data
Mandera,2017,0.91,75,44,Simulated Data
Mandera,2018,1.13,75,43,Simulated Data
Mandera,2019,0.61,71,41,Simulated Data
Mandera,2020,0.94,77,49,Simulated Data
Mandera,2021,1.15,78,45,Simulated Data
Mandera,2022,0.83,78,45,Simulated Data
Mandera,2023,1.06,78,47,Simulated Data
Mandera,2024,0.94,76,48,Simulated Data
Wajir,1991,0.21,57,36,Simulated Data
Wajir,1992,0.02,63,40,Simulated Data
Wajir,1993,0.0,54,31,Simulated Data
Wajir,1994,0.12,61,35,Simulated Data
Wajir,1995,-0.17,61,40,Simulated Data
Wajir,1996,0.17,57,33,Simulated Data
Wajir,1997,-0.21,62,35,Simulated Data
Wajir,1998,0.27,59,36,Simulated Data
Wajir,1999,0.36,65,37,Simulated Data
Wajir,2000,-0.12,55,35,Simulated Data
Wajir,2001,0.6,65,40,Simulated Data
Wajir,2002,0.46,60,38,Simulated Data
Wajir,2003,0.3,60,36,Simulated Data
Wajir,2004,0.03,56,35,Simulated Data
Wajir,2005,0.09,61,35,Simulated Data
Wajir,2006,0.36,60,35,Simulated Data
Wajir,2007,0.66,62,38,Simulated Data
Wajir,2008,0.49,65,42,Simulated Data
Wajir,2009,0.73,62,34,Simulated Data
Wajir,2010,0.38,63,35,Simulated Data
Wajir,2011,0.6,65,38,Simulated Data
Wajir,2012,0.85,62,35,Simulated Data
Wajir,2013,0.84,66,41,Simulated Data
Wajir,2014,0.64,62,39,Simulated Data
Wajir,2015,0.96,69,40,Simulated Data
Wajir,2016,0.82,64,36,Simulated Data
Wajir,2017,1.11,64,41,Simulated Data
Wajir,2018,0.77,62,37,Simulated Data
Wajir,2019,1.14,71,44,Simulated Data
Wajir,2020,1.0,69,43,Simulated Data
Wajir,2021,0.7,65,37,Simulated Data
Wajir,2022,1.32,74,42,Simulated Data
Wajir,2023,1.12,72,41,Simulated Data
Wajir,2024,1.04,72,40,Simulated Data
Kwale,1991,0.16,17,13,Simulated Data
Kwale,1992,0.41,25,15,Simulated Data
Kwale,1993,0.35,24,13,Simulated Data
Kwale,1994,0.35,16,10,Simulated Data
Kwale,1995,-0.1,13,5,Simulated Data
Kwale,1996,0.31,18,12,Simulated Data
Kwale,1997,-0.17,14,9,Simulated Data
Kwale,1998,0.44,19,12,Simulated Data
Kwale,1999,0.55,23,12,Simulated Data
Kwale,2000,-0.11,20,9,Simulated Data
Kwale,2001,0.6,23,16,Simulated Data
Kwale,2002,0.57,27,15,Simulated Data
Kwale,2003,0.57,21,12,Simulated Data
Kwale,2004,0.49,25,18,Simulated Data
Kwale,2005,0.63,22,13,Simulated Data
Kwale,2006,0.64,20,10,Simulated Data
Kwale,2007,0.36,18,10,Simulated Data
Kwale,2008,0.3,15,6,Simulated Data
Kwale,2009,0.93,24,14,Simulated Data
Kwale,2010,0.71,20,15,Simulated Data
Kwale,2011,0.83,20,12,Simulated Data
Kwale,2012,0.93,29,17,Simulated Data
Kwale,2013,0.75,20,15,Simulated Data
Kwale,2014,0.48,26,16,Simulated Data
Kwale,2015,0.81,24,13,Simulated Data
Kwale,2016,0.49,19,10,Simulated Data
Kwale,2017,1.0,24,12,Simulated Data
Kwale,2018,1.19,31,21,Simulated Data
Kwale,2019,1.24,24,14,Simulated Data
Kwale,2020,1.08,28,15,Simulated Data
Kwale,2021,1.15,24,13,Simulated Data
Kwale,2022,0.96,26,16,Simulated Data
Kwale,2023,0.63,26,14,Simulated Data
Kwale,2024,0.69,27,19,Simulated Data
Kilifi,1991,0.29,20,13,Simulated Data
Kilifi,1992,0.07,11,6,Simulated Data
Kilifi,1993,-0.04,12,9,Simulated Data
Kilifi,1994,0.09,11,5,Simulated Data
Kilifi,1995,0.27,12,9,Simulated Data
Kilifi,1996,0.15,15,10,Simulated Data
Kilifi,1997,0.44,16,11,Simulated Data
Kilifi,1998,0.26,14,11,Simulated Data
Kilifi,1999,0.48,20,14,Simulated Data
Kilifi,2000,0.56,21,15,Simulated Data
Kilifi,2001,0.46,20,13,Simulated Data
Kilifi,2002,0.53,15,11,Simulated Data
Kilifi,2003,0.66,15,11,Simulated Data
Kilifi,2004,0.09,13,9,Simulated Data
Kilifi,2005,0.15,19,13,Simulated Data
Kilifi,2006,0.46,13,7,Simulated Data
Kilifi,2007,0.57,24,15,Simulated Data
Kilifi,2008,0.32,18,11,Simulated Data
Kilifi,2009,0.76,17,12,Simulated Data
Kilifi,2010,0.6,24,13,Simulated Data
Kilifi,2011,0.71,24,12,Simulated Data
Kilifi,2012,0.98,24,12,Simulated Data
Kilifi,2013,0.5,20,9,Simulated Data
Kilifi,2014,0.76,19,12,Simulated Data
Kilifi,2015,0.36,21,15,Simulated Data
Kilifi,2016,1.13,26,13,Simulated Data
Kilifi,2017,0.99,18,8,Simulated Data
Kilifi,2018,0.67,20,14,Simulated Data
Kilifi,2019,0.99,22,12,Simulated Data
Kilifi,2020,1.27,24,14,Simulated Data
Kilifi,2021,0.63,22,14,Simulated Data
Kilifi,2022,0.71,16,11,Simulated Data
Kilifi,2023,1.08,21,15,Simulated Data
Kilifi,2024,0.71,19,14,Simulated Data
Taita Taveta,1991,-0.06,0,0,Simulated Data
Taita Taveta,1992,-0.15,0,0,Simulated Data
Taita Taveta,1993,0.38,0,0,Simulated Data
Taita Taveta,1994,-0.29,0,0,Simulated Data
Taita Taveta,1995,0.41,0,3,Simulated Data
Taita Taveta,1996,-0.1,0,2,Simulated Data
Taita Taveta,1997,0.4,0,2,Simulated Data
Taita Taveta,1998,0.31,0,0,Simulated Data
Taita Taveta,1999,0.58,0,2,Simulated Data
Taita Taveta,2000,0.26,0,0,Simulated Data
Taita Taveta,2001,0.45,0,0,Simulated Data
Taita Taveta,2002,0.32,0,0,Simulated Data
Taita Taveta,2003,0.18,0,0,Simulated Data
Taita Taveta,2004,0.35,0,0,Simulated Data
Taita Taveta,2005,0.33,0,1,Simulated Data
Taita Taveta,2006,0.28,0,2,Simulated Data
Taita Taveta,2007,0.7,0,0,Simulated Data
Taita Taveta,2008,0.19,0,3,Simulated Data
Taita Taveta,2009,0.25,0,1,Simulated Data
Taita Taveta,2010,0.73,0,0,Simulated Data
Taita Taveta,2011,0.46,0,0,Simulated Data
Taita Taveta,2012,0.51,0,0,Simulated Data
Taita Taveta,2013,0.58,0,0,Simulated Data
Taita Taveta,2014,0.84,3,0,Simulated Data
Taita Taveta,2015,0.45,0,1,Simulated Data
Taita Taveta,2016,0.92,0,3,Simulated Data
Taita Taveta,2017,0.42,0,1,Simulated Data
Taita Taveta,2018,1.11,4,4,Simulated Data
Taita Taveta,2019,0.71,2,0,Simulated Data
Taita Taveta,2020,1.19,3,4,Simulated Data
Taita Taveta,2021,0.86,1,1,Simulated Data
Taita Taveta,2022,1.12,0,0,Simulated Data
Taita Taveta,2023,0.76,0,2,Simulated Data
Taita Taveta,2024,0.77,4,1,Simulated Data
Lamu,1991,-0.25,27,17,Simulated Data
Lamu,1992,0.03,27,18,Simulated Data
Lamu,1993,-0.16,30,21,Simulated Data
Lamu,1994,0.21,25,16,Simulated Data
Lamu,1995,-0.22,20,11,Simulated Data
Lamu,1996,0.12,31,20,Simulated Data
Lamu,1997,0.37,29,16,Simulated Data
Lamu,1998,0.11,32,16,Simulated Data
Lamu,1999,0.53,31,18,Simulated Data
Lamu,2000,0.45,30,20,Simulated Data
Lamu,2001,0.62,31,17,Simulated Data
Lamu,2002,0.4,34,19,Simulated Data
Lamu,2003,0.46,31,20,Simulated Data
Lamu,2004,0.1,29,20,Simulated Data
Lamu,2005,0.16,25,18,Simulated Data
Lamu,2006,0.19,31,19,Simulated Data
Lamu,2007,0.28,32,19,Simulated Data
Lamu,2008,0.52,29,18,Simulated Data
Lamu,2009,0.27,27,19,Simulated Data
Lamu,2010,0.38,31,18,Simulated Data
Lamu,2011,0.82,29,20,Simulated Data
Lamu,2012,0.59,28,14,Simulated Data
Lamu,2013,0.4,30,17,Simulated Data
Lamu,2014,0.95,33,18,Simulated Data
Lamu,2015,0.81,35,19,Simulated Data
Lamu,2016,0.48,26,17,Simulated Data
Lamu,2017,0.91,33,22,Simulated Data
Lamu,2018,1.05,36,24,Simulated Data
Lamu,2019,0.6,27,15,Simulated Data
Lamu,2020,0.52,31,21,Simulated Data
Lamu,2021,0.53,27,16,Simulated Data
Lamu,2022,1.28,35,21,Simulated Data
Lamu,2023,0.59,28,20,Simulated Data
Lamu,2024,1.36,32,22,Simulated Data
Tana River,1991,0.11,54,32,Simulated Data
Tana River,1992,0.04,50,31,Simulated Data
Tana River,1993,-0.23,43,25,Simulated Data
Tana River,1994,0.25,49,30,Simulated Data
Tana River,1995,0.5,50,31,Simulated Data
Tana River,1996,0.11,54,30,Simulated Data
Tana River,1997,0.33,56,36,Simulated Data
Tana River,1998,0.36,52,32,Simulated Data
Tana River,1999,0.54,55,30,Simulated Data
Tana River,2000,0.61,56,35,Simulated Data
Tana River,2001,0.07,52,31,Simulated Data
Tana River,2002,0.45,49,30,Simulated Data
Tana River,2003,0.76,51,33,Simulated Data
Tana River,2004,0.32,56,35,Simulated Data
Tana River,2005,0.47,56,36,Simulated Data
Tana River,2006,0.37,51,32,Simulated Data
Tana River,2007,0.73,58,37,Simulated Data
Tana River,2008,0.46,56,31,Simulated Data
Tana River,2009,0.58,49,28,Simulated Data
Tana River,2010,0.46,52,32,Simulated Data
Tana River,2011,0.51,53,30,Simulated Data
Tana River,2012,0.53,51,28,Simulated Data
Tana River,2013,0.74,57,35,Simulated Data
Tana River,2014,0.66,54,35,Simulated Data
Tana River,2015,0.74,55,30,Simulated Data
Tana River,2016,0.62,53,31,Simulated Data
Tana River,2017,0.84,57,35,Simulated Data
Tana River,2018,1.02,61,38,Simulated Data
Tana River,2019,1.2,54,31,Simulated Data
Tana River,2020,0.48,55,35,Simulated Data
Tana River,2021,0.69,59,33,Simulated Data
Tana River,2022,1.28,58,32,Simulated Data
Tana River,2023,0.95,55,32,Simulated Data
Tana River,2024,0.84,59,36,Simulated Data
Isiolo,1991,-0.15,11,8,Simulated Data
Isiolo,1992,-0.15,9,3,Simulated Data
Isiolo,1993,-0.2,11,5,Simulated Data
Isiolo,1994,0.11,14,6,Simulated Data
Isiolo,1995,0.17,10,9,Simulated Data
Isiolo,1996,0.14,15,9,Simulated Data
Isiolo,1997,-0.19,11,9,Simulated Data
Isiolo,1998,0.29,17,13,Simulated Data
Isiolo,1999,0.02,8,5,Simulated Data
Isiolo,2000,0.2,16,12,Simulated Data
Isiolo,2001,0.18,10,8,Simulated Data
Isiolo,2002,0.15,16,9,Simulated Data
Isiolo,2003,0.49,11,7,Simulated Data
Isiolo,2004,0.35,15,7,Simulated Data
Isiolo,2005,0.61,20,10,Simulated Data
Isiolo,2006,0.13,7,5,Simulated Data
Isiolo,2007,0.57,16,8,Simulated Data
Isiolo,2008,0.42,16,10,Simulated Data
Isiolo,2009,0.93,15,10,Simulated Data
Isiolo,2010,0.49,14,10,Simulated Data
Isiolo,2011,0.75,22,11,Simulated Data
Isiolo,2012,0.31,16,10,Simulated Data
Isiolo,2013,0.48,11,4,Simulated Data
Isiolo,2014,1.01,16,9,Simulated Data
Isiolo,2015,0.5,14,6,Simulated Data
Isiolo,2016,0.77,13,10,Simulated Data
Isiolo,2017,0.57,16,12,Simulated Data
Isiolo,2018,0.93,19,10,Simulated Data
Isiolo,2019,0.71,19,14,Simulated Data
Isiolo,2020,1.0,20,13,Simulated Data
Isiolo,2021,0.87,14,9,Simulated Data
Isiolo,2022,1.3,18,12,Simulated Data
Isiolo,2023,0.72,17,8,Simulated Data
Isiolo,2024,0.95,21,12,Simulated Data
Meru,1991,0.13,0,3,Simulated Data
Meru,1992,-0.18,0,0,Simulated Data
Meru,1993,0.45,0,0,Simulated Data
Meru,1994,0.36,0,1,Simulated Data
Meru,1995,-0.21,0,0,Simulated Data
Meru,1996,0.41,0,1,Simulated Data
Meru,1997,-0.19,0,0,Simulated Data
Meru,1998,0.1,0,3,Simulated Data
Meru,1999,0.28,0,0,Simulated Data
Meru,2000,0.23,0,0,Simulated Data
Meru,2001,0.64,0,3,Simulated Data
Meru,2002,0.61,0,3,Simulated Data
Meru,2003,0.05,0,0,Simulated Data
Meru,2004,0.69,0,2,Simulated Data
Meru,2005,0.65,0,0,Simulated Data
Meru,2006,0.37,0,1,Simulated Data
Meru,2007,0.36,0,1,Simulated Data
Meru,2008,0.77,0,2,Simulated Data
Meru,2009,0.88,0,1,Simulated Data
Meru,2010,0.78,0,0,Simulated Data
Meru,2011,0.52,0,0,Simulated Data
Meru,2012,0.28,0,0,Simulated Data
Meru,2013,1.03,0,3,Simulated Data
Meru,2014,0.64,0,0,Simulated Data
Meru,2015,0.67,0,1,Simulated Data
Meru,2016,0.52,0,1,Simulated Data
Meru,2017,0.5,0,2,Simulated Data
Meru,2018,0.78,0,3,Simulated Data
Meru,2019,0.49,0,3,Simulated Data
Meru,2020,0.66,0,0,Simulated Data
Meru,2021,0.74,0,1,Simulated Data
Meru,2022,0.58,0,3,Simulated Data
Meru,2023,1.21,0,0,Simulated Data
Meru,2024,1.09,0,0,Simulated Data
Tharaka Nithi,1991,-0.3,0,0,Simulated Data
Tharaka Nithi,1992,-0.21,0,0,Simulated Data
Tharaka Nithi,1993,0.32,0,2,Simulated Data
Tharaka Nithi,1994,-0.3,0,0,Simulated Data
Tharaka Nithi,1995,-0.26,0,2,Simulated Data
Tharaka Nithi,1996,-0.14,0,0,Simulated Data
Tharaka Nithi,1997,-0.21,0,3,Simulated Data
Tharaka Nithi,1998,0.45,0,0,Simulated Data
