county,year,rainfall_mm,baseline_mm,rainfall_anomaly_pct,drought_classification,flood_risk_score,drought_months,source
Kisumu,2001,1979.7,1560,26.9,Above Normal,9.1,1,CHIRPS Simulated Data
Kisumu,2002,1522.9,1560,-2.4,Mild Drought,0.0,1,CHIRPS Simulated Data
Kisumu,2003,1576.2,1560,1.0,Normal,9.3,1,CHIRPS Simulated Data
Kisumu,2004,1930.8,1560,23.8,Above Normal,0.0,0,CHIRPS Simulated Data
Kisumu,2005,1936.6,1560,24.1,Above Normal,0.0,0,CHIRPS Simulated Data
Kisumu,2006,1700.6,1560,9.0,Normal,8.7,1,CHIRPS Simulated Data
Kisumu,2007,1718.0,1560,10.1,Normal,0.0,1,CHIRPS Simulated Data
Kisumu,2008,2074.3,1560,33.0,Above Normal,0.0,1,CHIRPS Simulated Data
Kisumu,2009,1987.9,1560,27.4,Above Normal,4.8,1,CHIRPS Simulated Data
Kisumu,2010,1848.5,1560,18.5,Above Normal,0.0,0,CHIRPS Simulated Data
Kisumu,2011,1945.4,1560,24.7,Above Normal,6.2,1,CHIRPS Simulated Data
Kisumu,2012,2040.4,1560,30.8,Above Normal,0.2,1,CHIRPS Simulated Data
Kisumu,2013,1950.4,1560,25.0,Above Normal,3.0,1,CHIRPS Simulated Data
Kisumu,2014,1955.5,1560,25.4,Above Normal,7.8,0,CHIRPS Simulated Data
Kisumu,2015,1603.4,1560,2.8,Normal,0.0,1,CHIRPS Simulated Data
Kisumu,2016,1317.8,1560,-15.5,Moderate Drought,0.0,2,CHIRPS Simulated Data
Kisumu,2017,1538.4,1560,-1.4,Mild Drought,1.8,0,CHIRPS Simulated Data
Kisumu,2018,1328.6,1560,-14.8,Moderate Drought,6.4,2,CHIRPS Simulated Data
Kisumu,2019,1411.2,1560,-9.5,Mild Drought,0.4,2,CHIRPS Simulated Data
Kisumu,2020,1493.6,1560,-4.3,Mild Drought,2.5,1,CHIRPS Simulated Data
Kisumu,2021,1355.5,1560,-13.1,Moderate Drought,0.6,2,CHIRPS Simulated Data
Kisumu,2022,1873.9,1560,20.1,Above Normal,4.5,1,CHIRPS Simulated Data
Kisumu,2023,1774.0,1560,13.7,Normal,0.0,1,CHIRPS Simulated Data
Kisumu,2024,1563.6,1560,0.2,Normal,0.0,0,CHIRPS Simulated Data
Kisumu,2025,1351.6,1560,-13.4,Moderate Drought,9.2,3,CHIRPS Simulated Data
Nakuru,1991,1076.0,980,9.8,Normal,0.0,0,CHIRPS Simulated Data
Nakuru,1992,814.9,980,-16.8,Moderate Drought,0.0,3,CHIRPS Simulated Data
Nakuru,1993,1093.8,980,11.6,Normal,3.2,0,CHIRPS Simulated Data
Nakuru,1994,1217.3,980,24.2,Above Normal,4.8,1,CHIRPS Simulated Data
Nakuru,1995,1051.3,980,7.3,Normal,0.0,0,CHIRPS Simulated Data
Nakuru,1996,927.6,980,-5.3,Mild Drought,5.2,1,CHIRPS Simulated Data
Nakuru,1997,810.9,980,-17.3,Moderate Drought,0.0,2,CHIRPS Simulated Data
Nakuru,1998,1186.5,980,21.1,Above Normal,4.1,0,CHIRPS Simulated Data
Nakuru,1999,808.0,980,-17.6,Moderate Drought,0.0,3,CHIRPS Simulated Data
Nakuru,2000,849.4,980,-13.3,Moderate Drought,0.0,2,CHIRPS Simulated Data
Nakuru,2001,1078.2,980,10.0,Normal,2.7,0,CHIRPS Simulated Data
Nakuru,2002,959.0,980,-2.1,Mild Drought,2.5,1,CHIRPS Simulated Data
Nakuru,2003,1210.1,980,23.5,Above Normal,3.2,0,CHIRPS Simulated Data
Nakuru,2004,809.6,980,-17.4,Moderate Drought,2.8,2,CHIRPS Simulated Data
Nakuru,2005,1079.3,980,10.1,Normal,8.8,1,CHIRPS Simulated Data
Nakuru,2006,980.7,980,0.1,Normal,2.9,0,CHIRPS Simulated Data
Nakuru,2007,1066.5,980,8.8,Normal,8.8,0,CHIRPS Simulated Data
Nakuru,2008,1288.0,980,31.4,Above Normal,8.1,0,CHIRPS Simulated Data
Nakuru,2009,824.4,980,-15.9,Moderate Drought,0.0,2,CHIRPS Simulated Data
Nakuru,2010,840.7,980,-14.2,Moderate Drought,3.6,2,CHIRPS Simulated Data
Nakuru,2011,962.6,980,-1.8,Mild Drought,6.9,0,CHIRPS Simulated Data
Nakuru,2012,1229.4,980,25.4,Above Normal,0.0,0,CHIRPS Simulated Data
Nakuru,2013,1171.1,980,19.5,Above Normal,2.6,1,CHIRPS Simulated Data
Nakuru,2014,1195.9,980,22.0,Above Normal,6.1,0,CHIRPS Simulated Data
Nakuru,2015,900.9,980,-8.1,Mild Drought,5.0,2,CHIRPS Simulated Data
Nakuru,2016,1342.4,980,37.0,Above Normal,0.0,0,CHIRPS Simulated Data
Nakuru,2017,1231.4,980,25.7,Above Normal,0.0,1,CHIRPS Simulated Data
Nakuru,2018,1280.4,980,30.7,Above Normal,0.0,1,CHIRPS Simulated Data
Nakuru,2019,1228.5,980,25.4,Above Normal,0.0,1,CHIRPS Simulated Data
Nakuru,2020,1096.6,980,11.9,Normal,6.5,0,CHIRPS Simulated Data
Nakuru,2021,1314.7,980,34.2,Above Normal,0.0,0,CHIRPS Simulated Data
Nakuru,2022,1324.8,980,35.2,Above Normal,0.0,0,CHIRPS Simulated Data
Nakuru,2023,1354.2,980,38.2,Above Normal,9.1,1,CHIRPS Simulated Data
Nakuru,2024,1182.5,980,20.7,Above Normal,0.0,0,CHIRPS Simulated Data
Nakuru,2025,1017.9,980,3.9,Normal,3.5,1,CHIRPS Simulated Data
Eldoret,1991,1203.1,1050,14.6,Normal,5.8,0,CHIRPS Simulated Data
Eldoret,1992,1051.3,1050,0.1,Normal,0.0,1,CHIRPS Simulated Data
Eldoret,1993,1027.5,1050,-2.1,Mild Drought,7.8,1,CHIRPS Simulated Data
Eldoret,1994,859.1,1050,-18.2,Moderate Drought,0.0,3,CHIRPS Simulated Data
Eldoret,1995,1129.9,1050,7.6,Normal,0.0,0,CHIRPS Simulated Data
Eldoret,1996,1178.6,1050,12.2,Normal,0.0,1,CHIRPS Simulated Data
Eldoret,1997,1186.1,1050,13.0,Normal,0.0,0,CHIRPS Simulated Data
Eldoret,1998,1342.0,1050,27.8,Above Normal,0.0,0,CHIRPS Simulated Data
Eldoret,1999,1253.1,1050,19.3,Above Normal,9.0,1,CHIRPS Simulated Data
Eldoret,2000,1225.6,1050,16.7,Above Normal,0.0,0,CHIRPS Simulated Data
Eldoret,2001,1243.3,1050,18.4,Above Normal,1.2,0,CHIRPS Simulated Data
Eldoret,2002,1318.9,1050,25.6,Above Normal,0.0,0,CHIRPS Simulated Data
Eldoret,2003,831.5,1050,-20.8,Moderate Drought,0.0,3,CHIRPS Simulated Data
Eldoret,2004,894.1,1050,-14.8,Moderate Drought,0.0,2,CHIRPS Simulated Data
Eldoret,2005,1245.2,1050,18.6,Above Normal,1.7,1,CHIRPS Simulated Data
Eldoret,2006,1043.4,1050,-0.6,Mild Drought,0.0,1,CHIRPS Simulated Data
Eldoret,2007,962.8,1050,-8.3,Mild Drought,9.3,1,CHIRPS Simulated Data
Eldoret,2008,1384.9,1050,31.9,Above Normal,0.0,1,CHIRPS Simulated Data
Eldoret,2009,1141.2,1050,8.7,Normal,9.9,0,CHIRPS Simulated Data
Eldoret,2010,1160.2,1050,10.5,Normal,9.4,1,CHIRPS Simulated Data
Eldoret,2011,1207.4,1050,15.0,Above Normal,3.9,0,CHIRPS Simulated Data
Eldoret,2012,1210.8,1050,15.3,Above Normal,1.7,1,CHIRPS Simulated Data
Eldoret,2013,882.8,1050,-15.9,Moderate Drought,0.0,3,CHIRPS Simulated Data
Eldoret,2014,1370.3,1050,30.5,Above Normal,0.0,1,CHIRPS Simulated Data
Eldoret,2015,1022.7,1050,-2.6,Mild Drought,0.0,1,CHIRPS Simulated Data
Eldoret,2016,1070.3,1050,1.9,Normal,1.7,0,CHIRPS Simulated Data
Eldoret,2017,1434.2,1050,36.6,Above Normal,9.8,1,CHIRPS Simulated Data
Eldoret,2018,1184.4,1050,12.8,Normal,0.0,1,CHIRPS Simulated Data
Eldoret,2019,1275.4,1050,21.5,Above Normal,0.0,1,CHIRPS Simulated Data
Eldoret,2020,1360.8,1050,29.6,Above Normal,9.0,1,CHIRPS Simulated Data
Eldoret,2021,1242.7,1050,18.4,Above Normal,0.0,1,CHIRPS Simulated Data
Eldoret,2022,1396.2,1050,33.0,Above Normal,0.0,0,CHIRPS Simulated Data
Eldoret,2023,1111.2,1050,5.8,Normal,6.2,1,CHIRPS Simulated Data
Eldoret,2024,980.8,1050,-6.6,Mild Drought,1.9,1,CHIRPS Simulated Data
Eldoret,2025,1473.1,1050,40.3,Above Normal,6.9,1,CHIRPS Simulated Data
Garissa,1991,275.6,280,-1.6,Mild Drought,0.0,0,CHIRPS Simulated Data
Garissa,1992,218.8,280,-21.9,Moderate Drought,7.2,4,CHIRPS Simulated Data
Garissa,1993,352.8,280,26.0,Above Normal,10.0,1,CHIRPS Simulated Data
Garissa,1994,321.5,280,14.8,Normal,8.9,1,CHIRPS Simulated Data
Garissa,1995,248.5,280,-11.2,Moderate Drought,0.0,2,CHIRPS Simulated Data
Garissa,1996,350.4,280,25.1,Above Normal,2.2,0,CHIRPS Simulated Data
Garissa,1997,311.3,280,11.2,Normal,2.4,0,CHIRPS Simulated Data
Garissa,1998,232.2,280,-17.1,Moderate Drought,3.4,3,CHIRPS Simulated Data
Garissa,1999,328.3,280,17.3,Above Normal,0.5,1,CHIRPS Simulated Data
Garissa,2000,297.6,280,6.3,Normal,1.2,1,CHIRPS Simulated Data
Garissa,2001,277.1,280,-1.0,Mild Drought,0.0,0,CHIRPS Simulated Data
Garissa,2002,329.6,280,17.7,Above Normal,2.5,1,CHIRPS Simulated Data
Garissa,2003,251.3,280,-10.2,Moderate Drought,0.0,1,CHIRPS Simulated Data
Garissa,2004,272.6,280,-2.6,Mild Drought,1.8,1,CHIRPS Simulated Data
Garissa,2005,286.4,280,2.3,Normal,8.1,0,CHIRPS Simulated Data
Garissa,2006,298.9,280,6.7,Normal,5.7,0,CHIRPS Simulated Data
Garissa,2007,316.1,280,12.9,Normal,7.3,1,CHIRPS Simulated Data
Garissa,2008,246.3,280,-12.0,Moderate Drought,8.5,2,CHIRPS Simulated Data
Garissa,2009,263.9,280,-5.8,Mild Drought,0.0,2,CHIRPS Simulated Data
Garissa,2010,300.2,280,7.2,Normal,0.0,1,CHIRPS Simulated Data
Garissa,2011,263.1,280,-6.0,Mild Drought,0.0,1,CHIRPS Simulated Data
Garissa,2012,247.1,280,-11.8,Moderate Drought,0.0,2,CHIRPS Simulated Data
Garissa,2013,326.1,280,16.5,Above Normal,0.0,0,CHIRPS Simulated Data
Garissa,2014,366.4,280,30.9,Above Normal,0.0,1,CHIRPS Simulated Data
Garissa,2015,256.6,280,-8.4,Mild Drought,0.0,1,CHIRPS Simulated Data
Garissa,2016,257.0,280,-8.2,Mild Drought,0.0,1,CHIRPS Simulated Data
Garissa,2017,245.5,280,-12.3,Moderate Drought,0.0,2,CHIRPS Simulated Data
Garissa,2018,264.7,280,-5.5,Mild Drought,0.0,1,CHIRPS Simulated Data
Garissa,2019,341.0,280,21.8,Above Normal,0.0,1,CHIRPS Simulated Data
Garissa,2020,332.5,280,18.8,Above Normal,0.0,1,CHIRPS Simulated Data
Garissa,2021,379.6,280,35.6,Above Normal,0.0,0,CHIRPS Simulated Data
Garissa,2022,362.9,280,29.6,Above Normal,5.1,0,CHIRPS Simulated Data
Garissa,2023,269.9,280,-3.6,Mild Drought,0.0,1,CHIRPS Simulated Data
Garissa,2024,335.7,280,19.9,Above Normal,0.0,0,CHIRPS Simulated Data
Garissa,2025,357.4,280,27.6,Above Normal,0.0,0,CHIRPS Simulated Data
Turkana,1991,199.2,180,10.7,Normal,8.0,1,CHIRPS Simulated Data
Turkana,1992,183.6,180,2.0,Normal,0.0,0,CHIRPS Simulated Data
Turkana,1993,184.4,180,2.4,Normal,0.0,0,CHIRPS Simulated Data
Turkana,1994,171.0,180,-5.0,Mild Drought,0.0,1,CHIRPS Simulated Data
Turkana,1995,156.5,180,-13.1,Moderate Drought,0.0,2,CHIRPS Simulated Data
Turkana,1996,219.5,180,21.9,Above Normal,2.0,1,CHIRPS Simulated Data
Turkana,1997,211.0,180,17.2,Above Normal,0.1,0,CHIRPS Simulated Data
Turkana,1998,188.5,180,4.7,Normal,1.8,1,CHIRPS Simulated Data
Turkana,1999,179.4,180,-0.3,Mild Drought,0.0,0,CHIRPS Simulated Data
Turkana,2000,173.7,180,-3.5,Mild Drought,2.9,1,CHIRPS Simulated Data
Turkana,2001,173.7,180,-3.5,Mild Drought,9.7,1,CHIRPS Simulated Data
Turkana,2002,163.2,180,-9.3,Mild Drought,0.0,1,CHIRPS Simulated Data
Turkana,2003,164.7,180,-8.5,Mild Drought,0.0,1,CHIRPS Simulated Data
Turkana,2004,169.0,180,-6.1,Mild Drought,0.0,2,CHIRPS Simulated Data
Turkana,2005,150.2,180,-16.6,Moderate Drought,0.4,2,CHIRPS Simulated Data
Turkana,2006,236.8,180,31.6,Above Normal,0.0,0,CHIRPS Simulated Data
Turkana,2007,236.5,180,31.4,Above Normal,7.5,1,CHIRPS Simulated Data
Turkana,2008,169.0,180,-6.1,Mild Drought,0.0,1,CHIRPS Simulated Data
Turkana,2009,234.4,180,30.2,Above Normal,1.3,1,CHIRPS Simulated Data
Turkana,2010,172.4,180,-4.2,Mild Drought,5.4,1,CHIRPS Simulated Data
Turkana,2011,177.3,180,-1.5,Mild Drought,0.0,1,CHIRPS Simulated Data
Turkana,2012,170.0,180,-5.6,Mild Drought,0.0,1,CHIRPS Simulated Data
Turkana,2013,175.1,180,-2.7,Mild Drought,1.6,0,CHIRPS Simulated Data
Turkana,2014,194.7,180,8.2,Normal,0.7,0,CHIRPS Simulated Data
Turkana,2015,181.2,180,0.7,Normal,0.0,0,CHIRPS Simulated Data
Turkana,2016,246.5,180,36.9,Above Normal,0.0,1,CHIRPS Simulated Data
Turkana,2017,174.3,180,-3.2,Mild Drought,3.6,1,CHIRPS Simulated Data
Turkana,2018,209.0,180,16.1,Above Normal,0.0,0,CHIRPS Simulated Data
Turkana,2019,185.0,180,2.8,Normal,8.6,1,CHIRPS Simulated Data
Turkana,2020,247.6,180,37.6,Above Normal,0.0,1,CHIRPS Simulated Data
Turkana,2021,245.8,180,36.6,Above Normal,0.0,0,CHIRPS Simulated Data
Turkana,2022,226.7,180,25.9,Above Normal,1.6,1,CHIRPS Simulated Data
Turkana,2023,166.5,180,-7.5,Mild Drought,5.9,1,CHIRPS Simulated Data
Turkana,2024,169.5,180,-5.8,Mild Drought,0.0,2,CHIRPS Simulated Data
Turkana,2025,221.4,180,23.0,Above Normal,0.6,0,CHIRPS Simulated Data
Marsabit,1991,499.2,420,18.9,Above Normal,0.0,1,CHIRPS Simulated Data
Marsabit,1992,408.8,420,-2.7,Mild Drought,0.0,1,CHIRPS Simulated Data
Marsabit,1993,381.3,420,-9.2,Mild Drought,4.9,2,CHIRPS Simulated Data
Marsabit,1994,368.1,420,-12.4,Moderate Drought,8.0,2,CHIRPS Simulated Data
Marsabit,1995,436.0,420,3.8,Normal,8.1,1,CHIRPS Simulated Data
Marsabit,1996,346.3,420,-17.5,Moderate Drought,8.8,3,CHIRPS Simulated Data
Marsabit,1997,394.6,420,-6.0,Mild Drought,0.0,2,CHIRPS Simulated Data
Marsabit,1998,457.7,420,9.0,Normal,0.7,1,CHIRPS Simulated Data
Marsabit,1999,496.0,420,18.1,Above Normal,0.0,0,CHIRPS Simulated Data
Marsabit,2000,380.4,420,-9.4,Mild Drought,4.9,1,CHIRPS Simulated Data
Marsabit,2001,452.1,420,7.6,Normal,5.3,1,CHIRPS Simulated Data
Marsabit,2002,403.9,420,-3.8,Mild Drought,6.4,1,CHIRPS Simulated Data
Marsabit,2003,516.4,420,23.0,Above Normal,0.0,0,CHIRPS Simulated Data
Marsabit,2004,507.5,420,20.8,Above Normal,0.0,0,CHIRPS Simulated Data
Marsabit,2005,492.8,420,17.3,Above Normal,4.4,1,CHIRPS Simulated Data
Marsabit,2006,488.4,420,16.3,Above Normal,0.9,0,CHIRPS Simulated Data
Marsabit,2007,412.4,420,-1.8,Mild Drought,0.0,1,CHIRPS Simulated Data
Marsabit,2008,467.3,420,11.3,Normal,0.0,0,CHIRPS Simulated Data
Marsabit,2009,550.9,420,31.2,Above Normal,0.0,1,CHIRPS Simulated Data
Marsabit,2010,453.3,420,7.9,Normal,2.2,0,CHIRPS Simulated Data
Marsabit,2011,538.0,420,28.1,Above Normal,8.7,1,CHIRPS Simulated Data
Marsabit,2012,500.0,420,19.0,Above Normal,8.5,1,CHIRPS Simulated Data
Marsabit,2013,377.6,420,-10.1,Moderate Drought,1.5,2,CHIRPS Simulated Data
Marsabit,2014,441.2,420,5.0,Normal,4.7,1,CHIRPS Simulated Data
Marsabit,2015,558.3,420,32.9,Above Normal,0.0,0,CHIRPS Simulated Data
Marsabit,2016,574.0,420,36.7,Above Normal,6.9,0,CHIRPS Simulated Data
Marsabit,2017,561.2,420,33.6,Above Normal,7.5,1,CHIRPS Simulated Data
Marsabit,2018,486.6,420,15.9,Above Normal,0.0,0,CHIRPS Simulated Data
Marsabit,2019,428.6,420,2.0,Normal,6.1,0,CHIRPS Simulated Data
Marsabit,2020,429.7,420,2.3,Normal,0.0,1,CHIRPS Simulated Data
Marsabit,2021,569.2,420,35.5,Above Normal,0.0,0,CHIRPS Simulated Data
Marsabit,2022,528.1,420,25.7,Above Normal,0.0,0,CHIRPS Simulated Data
Marsabit,2023,462.5,420,10.1,Normal,0.0,0,CHIRPS Simulated Data
Marsabit,2024,475.1,420,13.1,Normal,0.0,1,CHIRPS Simulated Data
Marsabit,2025,444.3,420,5.8,Normal,1.6,1,CHIRPS Simulated Data
Mandera,1991,166.4,220,-24.4,Moderate Drought,3.2,3,CHIRPS Simulated Data
Mandera,1992,271.8,220,23.5,Above Normal,0.0,0,CHIRPS Simulated Data
Mandera,1993,175.8,220,-20.1,Moderate Drought,9.8,3,CHIRPS Simulated Data
Mandera,1994,233.3,220,6.0,Normal,0.0,1,CHIRPS Simulated Data
Mandera,1995,191.1,220,-13.1,Moderate Drought,7.9,2,CHIRPS Simulated Data
Mandera,1996,189.7,220,-13.8,Moderate Drought,0.0,2,CHIRPS Simulated Data
Mandera,1997,232.6,220,5.7,Normal,0.0,1,CHIRPS Simulated Data
Mandera,1998,220.9,220,0.4,Normal,0.5,0,CHIRPS Simulated Data
Mandera,1999,215.8,220,-1.9,Mild Drought,1.2,0,CHIRPS Simulated Data
Mandera,2000,191.7,220,-12.9,Moderate Drought,7.2,3,CHIRPS Simulated Data
Mandera,2001,214.3,220,-2.6,Mild Drought,0.0,1,CHIRPS Simulated Data
Mandera,2002,219.2,220,-0.4,Mild Drought,0.0,0,CHIRPS Simulated Data
Mandera,2003,255.5,220,16.1,Above Normal,3.3,0,CHIRPS Simulated Data
Mandera,2004,199.3,220,-9.4,Mild Drought,0.0,2,CHIRPS Simulated Data
Mandera,2005,176.5,220,-19.8,Moderate Drought,0.0,3,CHIRPS Simulated Data
Mandera,2006,195.7,220,-11.0,Moderate Drought,3.0,2,CHIRPS Simulated Data
Mandera,2007,187.2,220,-14.9,Moderate Drought,0.0,3,CHIRPS Simulated Data
Mandera,2008,276.7,220,25.8,Above Normal,6.7,0,CHIRPS Simulated Data
Mandera,2009,255.7,220,16.2,Above Normal,0.0,0,CHIRPS Simulated Data
Mandera,2010,283.6,220,28.9,Above Normal,0.0,0,CHIRPS Simulated Data
Mandera,2011,202.9,220,-7.8,Mild Drought,0.0,1,CHIRPS Simulated Data
Mandera,2012,248.4,220,12.9,Normal,0.0,1,CHIRPS Simulated Data
Mandera,2013,277.4,220,26.1,Above Normal,0.0,0,CHIRPS Simulated Data
Mandera,2014,225.8,220,2.6,Normal,1.8,0,CHIRPS Simulated Data
Mandera,2015,256.1,220,16.4,Above Normal,0.0,1,CHIRPS Simulated Data
Mandera,2016,234.3,220,6.5,Normal,0.0,1,CHIRPS Simulated Data
Mandera,2017,274.9,220,25.0,Above Normal,0.0,1,CHIRPS Simulated Data
Mandera,2018,242.2,220,10.1,Normal,7.9,1,CHIRPS Simulated Data
Mandera,2019,235.5,220,7.0,Normal,0.0,0,CHIRPS Simulated Data
Mandera,2020,250.6,220,13.9,Normal,2.7,0,CHIRPS Simulated Data
