county,year,flood_events,drought_events,heatwave_days,people_affected_thousands,economic_loss_millions_kes
Elgeyo Marakwet,2014,0,3,10,22.6,55.2
Elgeyo Marakwet,2015,0,4,11,67.8,192.1
Elgeyo Marakwet,2016,1,2,13,55.3,100.6
Elgeyo Marakwet,2017,2,3,14,24.6,126.4
Elgeyo Marakwet,2018,0,0,12,23.8,190.9
Elgeyo Marakwet,2019,0,2,19,19.2,48.5
Elgeyo Marakwet,2020,2,4,18,21.4,103.5
Elgeyo Marakwet,2021,0,3,16,20.3,238.4
Elgeyo Marakwet,2022,0,0,15,13.4,18.8
Elgeyo Marakwet,2023,0,3,16,6.3,137.1
Elgeyo Marakwet,2024,1,0,18,6.6,53.3
Elgeyo Marakwet,2025,2,1,22,55.9,154.1
Kwale,2000,2,2,3,49.3,154.5
Kwale,2001,1,1,0,48.9,83.2
Kwale,2002,0,1,5,45.4,19.5
Kwale,2003,0,2,5,36.4,151.0
Kwale,2004,0,0,1,10.9,8.0
Kwale,2005,1,1,2,19.0,95.8
Kwale,2006,0,1,5,56.6,210.1
Kwale,2007,1,2,9,27.7,76.1
Kwale,2008,0,1,11,27.7,177.7
Kwale,2009,4,3,6,41.5,188.6
Kwale,2010,1,3,13,40.7,247.0
Kwale,2011,2,0,11,61.7,179.2
Kwale,2012,0,0,13,19.1,183.1
Kwale,2013,1,1,8,60.7,55.6
Kwale,2014,2,1,11,2.1,97.1
Kwale,2015,2,1,9,64.8,192.8
Kwale,2016,2,1,15,41.0,275.7
Kwale,2017,0,3,14,49.1,83.2
Kwale,2018,1,0,19,48.8,118.7
Kwale,2019,4,2,18,58.5,141.5
Kwale,2020,2,0,18,36.4,120.9
Kwale,2021,2,1,15,31.4,148.2
Kwale,2022,2,2,21,10.1,182.5
Kwale,2023,3,2,19,52.6,29.5
Kwale,2024,1,1,18,11.7,90.2
Kwale,2025,1,1,25,34.4,130.6
Lamu,2000,0,0,1,2.7,103.6
Lamu,2001,1,3,0,47.0,78.8
Lamu,2002,0,0,5,22.2,202.8
Lamu,2003,1,0,3,15.1,99.8
Lamu,2004,0,0,6,51.7,106.8
Lamu,2005,2,1,6,40.0,129.7
Lamu,2006,2,1,3,22.9,139.7
Lamu,2007,2,1,7,10.1,118.9
Lamu,2008,2,0,3,43.0,36.7
Lamu,2009,1,3,11,44.9,48.2
Lamu,2010,1,1,6,35.4,21.8
Lamu,2011,1,3,13,17.0,99.6
Lamu,2012,3,2,10,14.7,222.2
Lamu,2013,1,1,11,33.9,119.0
Lamu,2014,1,1,10,9.1,210.8
Lamu,2015,0,2,10,47.9,30.2
Lamu,2016,0,3,13,43.1,179.7
Lamu,2017,0,1,18,44.0,119.1
Lamu,2018,3,2,18,26.5,166.1
Lamu,2019,1,0,15,22.5,264.2
Lamu,2020,1,0,19,38.9,121.4
Lamu,2021,0,0,21,52.6,197.6
Lamu,2022,1,2,15,1.7,89.7
Lamu,2023,0,2,23,15.5,222.9
Lamu,2024,2,3,22,2.1,45.6
Lamu,2025,2,2,24,59.3,301.9
Garissa,2000,0,1,2,28.5,101.6
Garissa,2001,1,3,0,49.7,153.3
Garissa,2002,0,6,0,25.5,148.4
Garissa,2003,1,3,2,20.6,80.3
Garissa,2004,0,6,6,1.2,107.7
Garissa,2005,0,4,3,26.9,114.3
Garissa,2006,0,5,4,29.6,135.2
Garissa,2007,0,2,7,8.0,40.4
Garissa,2008,1,6,7,20.1,76.4
Garissa,2009,1,5,5,32.7,154.0
Garissa,2010,0,6,9,25.6,229.1
Garissa,2011,1,6,13,23.6,20.3
Garissa,2012,1,4,11,18.0,102.6
Garissa,2013,0,4,13,36.0,195.5
Garissa,2014,1,7,10,54.4,241.0
Garissa,2015,1,9,10,36.4,98.1
Garissa,2016,1,7,17,41.9,186.9
Garissa,2017,1,4,12,71.1,183.6
Garissa,2018,0,6,13,46.8,198.1
Garissa,2019,4,5,17,30.2,252.4
Garissa,2020,2,4,20,54.2,217.1
Garissa,2021,1,8,15,51.7,254.1
Garissa,2022,1,5,22,23.4,183.1
Garissa,2023,0,6,23,40.5,190.9
Garissa,2024,0,7,19,56.5,167.9
Garissa,2025,2,7,24,19.4,56.3
Taita Taveta,2000,3,1,0,7.7,163.0
Taita Taveta,2001,2,0,1,27.8,166.9
Taita Taveta,2002,2,3,5,4.0,40.9
Taita Taveta,2003,2,1,6,17.3,146.4
Taita Taveta,2004,0,0,1,33.5,169.9
Taita Taveta,2005,1,2,1,37.8,50.2
Taita Taveta,2006,2,2,5,42.0,194.6
Taita Taveta,2007,2,1,9,46.9,50.5
Taita Taveta,2008,1,4,6,32.0,217.8
Taita Taveta,2009,2,1,9,48.1,22.0
Taita Taveta,2010,1,0,12,35.6,229.1
Taita Taveta,2011,0,3,14,4.9,105.1
Taita Taveta,2012,0,0,9,53.1,178.0
Taita Taveta,2013,0,3,15,1.5,251.1
Taita Taveta,2014,0,0,16,58.5,159.6
Taita Taveta,2015,1,1,13,8.8,141.9
Taita Taveta,2016,2,4,14,25.6,214.7
Taita Taveta,2017,1,0,16,60.6,77.2
Taita Taveta,2018,1,2,14,53.0,34.3
Taita Taveta,2019,1,1,18,29.7,14.1
Taita Taveta,2020,2,2,19,41.3,219.2
Taita Taveta,2021,3,0,20,74.4,177.1
Taita Taveta,2022,1,1,22,77.3,30.9
Taita Taveta,2023,0,2,18,30.7,238.5
Taita Taveta,2024,6,0,23,13.2,301.6
Taita Taveta,2025,1,2,19,47.0,88.4
Machakos,2000,3,1,0,19.4,171.6
Machakos,2001,3,2,4,12.3,55.0
Machakos,2002,1,2,2,42.0,157.4
Machakos,2003,1,0,7,47.4,91.2
Machakos,2004,2,1,7,12.2,17.0
Machakos,2005,1,0,5,19.7,55.6
Machakos,2006,0,0,4,11.8,157.8
Machakos,2007,2,0,6,7.6,22.4
Machakos,2008,0,0,8,11.8,227.0
Machakos,2009,1,0,11,26.8,168.6
Machakos,2010,1,0,11,52.0,238.3
Machakos,2011,2,1,6,53.8,89.7
Machakos,2012,1,1,9,55.7,26.7
Machakos,2013,0,3,12,64.6,210.1
Machakos,2014,1,1,12,22.1,123.9
Machakos,2015,3,1,15,18.3,230.6
Machakos,2016,1,1,15,35.1,269.8
Machakos,2017,2,1,12,30.2,187.8
Machakos,2018,0,0,14,57.3,198.7
Machakos,2019,2,1,15,45.7,122.7
Machakos,2020,1,2,20,38.1,169.5
Machakos,2021,3,1,17,68.8,189.5
Machakos,2022,1,3,16,41.4,72.4
Machakos,2023,0,5,23,41.9,57.7
Machakos,2024,2,3,19,62.1,54.3
Machakos,2025,2,0,25,22.0,84.6
Tana River,2000,1,5,0,39.9,197.0
Tana River,2001,3,2,4,22.0,115.2
Tana River,2002,2,2,3,24.9,140.9
Tana River,2003,2,2,0,11.9,195.9
Tana River,2004,6,2,8,28.5,84.2
Tana River,2005,4,3,5,22.4,36.0
Tana River,2006,4,3,8,53.9,191.0
Tana River,2007,4,3,3,20.8,53.4
Tana River,2008,5,3,7,40.2,200.7
Tana River,2009,3,2,8,25.0,23.3
Tana River,2010,7,4,6,4.3,189.4
Tana River,2011,4,7,12,58.0,140.3
Tana River,2012,1,2,14,40.5,244.0
Tana River,2013,3,3,14,54.1,63.2
Tana River,2014,1,5,12,45.9,122.5
Tana River,2015,2,2,10,56.8,211.9
Tana River,2016,6,5,13,52.6,81.1
Tana River,2017,2,5,14,46.1,259.0
Tana River,2018,5,2,19,52.4,22.9
Tana River,2019,3,7,14,36.2,157.1
Tana River,2020,9,3,14,7.0,226.2
Tana River,2021,4,6,17,41.3,165.8
Tana River,2022,8,5,21,14.0,205.4
Tana River,2023,1,7,21,13.4,205.3
Tana River,2024,4,6,20,8.3,112.4
Tana River,2025,7,7,24,2.7,322.8
Vihiga,2000,2,1,0,46.5,114.2
Vihiga,2001,0,1,0,7.2,79.2
Vihiga,2002,1,1,4,44.3,145.1
Vihiga,2003,1,2,7,33.6,128.3
Vihiga,2004,0,3,6,5.6,155.3
Vihiga,2005,4,0,8,38.2,174.9
Vihiga,2006,0,1,7,26.9,182.7
Vihiga,2007,2,1,9,54.0,215.6
Vihiga,2008,2,2,11,30.3,198.5
Vihiga,2009,2,2,7,59.3,221.1
Vihiga,2010,1,1,5,40.1,191.1
Vihiga,2011,0,4,14,35.1,205.0
Vihiga,2012,0,1,9,3.4,45.2
Vihiga,2013,1,4,12,8.3,79.7
Vihiga,2014,2,1,15,19.3,105.9
Vihiga,2015,3,3,15,54.3,255.1
Vihiga,2016,0,2,14,48.1,56.7
Vihiga,2017,0,2,16,60.7,47.1
Vihiga,2018,1,3,15,27.4,182.7
Vihiga,2019,2,5,13,21.1,31.4
Vihiga,2020,0,1,20,34.0,247.4
Vihiga,2021,0,2,18,60.2,11.6
Vihiga,2022,2,0,22,14.2,262.4
Vihiga,2023,6,0,16,66.9,13.1
Vihiga,2024,0,2,17,33.6,167.6
Vihiga,2025,1,3,17,45.4,192.9
Bomet,2000,0,1,4,28.3,180.4
Bomet,2001,1,1,1,35.0,113.2
Bomet,2002,2,1,4,38.7,12.1
Bomet,2003,2,1,5,41.3,193.2
Bomet,2004,4,1,2,28.6,81.0
Bomet,2005,3,1,4,55.4,72.7
Bomet,2006,2,2,3,8.3,214.0
Bomet,2007,2,4,9,51.7,67.3
Bomet,2008,0,0,5,50.4,78.2
Bomet,2009,0,2,8,23.8,212.1
Bomet,2010,2,0,7,19.7,115.4
Bomet,2011,1,1,6,55.9,124.0
Bomet,2012,1,1,13,51.2,206.7
Bomet,2013,1,2,8,40.3,134.9
Bomet,2014,0,3,15,3.6,65.8
Bomet,2015,2,0,16,46.3,174.7
Bomet,2016,1,1,17,7.7,241.5
Bomet,2017,0,3,16,5.0,14.9
Bomet,2018,0,0,12,6.0,184.1
Bomet,2019,0,0,18,28.3,163.3
Bomet,2020,1,4,14,50.2,156.9
Bomet,2021,2,4,20,18.4,43.0
Bomet,2022,1,2,16,9.3,308.8
Bomet,2023,2,0,21,77.5,158.2
Bomet,2024,0,1,19,59.2,72.6
Bomet,2025,0,2,23,20.9,117.7
Nakuru,2000,1,0,0,34.2,182.2
Nakuru,2001,1,0,0,23.8,200.4
Nakuru,2002,1,0,5,26.1,132.0
Nakuru,2003,2,1,0,9.4,34.1
Nakuru,2004,2,1,1,4.2,103.5
Nakuru,2005,1,2,8,52.6,22.3
Nakuru,2006,0,1,7,13.5,191.5
Nakuru,2007,1,1,6,23.6,210.6
Nakuru,2008,1,1,7,3.6,150.0
Nakuru,2009,2,2,7,31.1,37.8
Nakuru,2010,1,3,8,45.5,151.2
Nakuru,2011,1,2,10,49.9,167.5
Nakuru,2012,1,1,11,59.6,259.0
Nakuru,2013,1,0,11,62.0,125.6
Nakuru,2014,5,2,16,46.7,81.1
Nakuru,2015,3,1,16,33.1,126.5
Nakuru,2016,1,0,16,45.5,159.9
Nakuru,2017,1,1,16,4.4,108.4
Nakuru,2018,1,2,15,70.4,77.9
Nakuru,2019,5,1,12,58.3,56.0
Nakuru,2020,4,2,15,47.2,184.7
Nakuru,2021,3,0,14,70.5,62.4
Nakuru,2022,5,1,21,21.2,297.1
Nakuru,2023,2,0,18,62.3,90.0
Nakuru,2024,0,0,17,52.6,281.9
Nakuru,2025,1,4,21,70.6,179.2
Nandi,2000,2,2,0,46.1,159.7
Nandi,2001,4,1,3,30.0,78.5
Nandi,2002,3,1,5,1.3,138.2
Nandi,2003,2,1,1,32.6,38.1
Nandi,2004,1,0,7,15.6,47.2
Nandi,2005,2,2,6,43.6,170.6
Nandi,2006,1,1,4,4.7,191.3
Nandi,2007,1,3,10,21.5,128.4
Nandi,2008,1,1,9,21.2,163.1
Nandi,2009,2,3,6,50.6,81.8
Nandi,2010,2,1,7,6.8,193.5
Nandi,2011,1,1,7,47.1,19.8
Nandi,2012,3,2,12,4.4,69.9
Nandi,2013,3,2,8,49.4,260.4
Nandi,2014,0,2,13,7.0,175.9
Nandi,2015,0,1,11,21.5,58.0
Nandi,2016,1,0,16,11.6,11.9
Nandi,2017,3,1,15,67.2,184.2
Nandi,2018,4,2,15,51.8,130.0
Nandi,2019,2,3,16,37.6,215.9
Nandi,2020,1,1,20,50.8,112.7
Nandi,2021,3,0,15,58.2,266.2
Nandi,2022,2,1,18,25.3,164.5
Nandi,2023,2,0,16,70.1,23.2
Nandi,2024,0,2,22,42.1,242.1
Nandi,2025,4,1,17,26.3,140.6
Kiambu,2000,0,3,0,13.5,108.6
Kiambu,2001,1,1,0,36.6,134.8
Kiambu,2002,1,2,0,3.5,11.7
Kiambu,2003,1,3,2,17.2,55.6
Kiambu,2004,1,1,3,46.8,146.3
Kiambu,2005,2,1,4,11.0,215.3
Kiambu,2006,0,0,2,50.7,101.9
Kiambu,2007,1,2,8,5.7,172.3
Kiambu,2008,2,2,7,57.0,232.6
Kiambu,2009,1,0,10,7.1,98.5
Kiambu,2010,3,2,7,28.1,208.2
Kiambu,2011,0,1,12,59.3,136.4
Kiambu,2012,3,1,8,35.5,34.8
Kiambu,2013,2,2,9,6.9,159.1
Kiambu,2014,0,0,8,37.5,138.2
Kiambu,2015,3,0,17,8.7,104.5
Kiambu,2016,0,1,16,39.6,93.7
Kiambu,2017,1,0,14,43.8,146.9
Kiambu,2018,1,3,11,20.2,27.4
Kiambu,2019,3,1,16,16.0,108.2
Kiambu,2020,1,3,17,72.6,191.6
Kiambu,2021,2,2,19,29.6,10.0
Kiambu,2022,1,1,16,12.9,192.3
Kiambu,2023,2,3,16,10.8,84.0
Kiambu,2024,1,2,21,32.8,151.0
Kiambu,2025,4,0,22,66.9,104.5
Isiolo,2000,2,4,0,35.9,52.0
Isiolo,2001,1,7,4,8.0,204.8
Isiolo,2002,1,7,2,18.8,127.7
Isiolo,2003,2,3,2,15.0,34.8
Isiolo,2004,5,4,2,21.0,175.9
Isiolo,2005,4,6,8,46.0,198.7
Isiolo,2006,6,2,10,10.4,126.8
Isiolo,2007,7,3,3,39.9,21.3
Isiolo,2008,5,6,7,27.3,100.6
Isiolo,2009,1,5,8,38.6,226.0
Isiolo,2010,8,4,11,14.9,77.6
Isiolo,2011,2,3,12,47.1,180.5
Isiolo,2012,3,4,9,32.2,31.8
Isiolo,2013,4,6,10,54.9,201.4
Isiolo,2014,4,8,12,52.0,158.1
Isiolo,2015,4,8,13,12.2,263.5
Isiolo,2016,5,2,12,64.9,33.8
Isiolo,2017,2,5,12,55.2,189.4
Isiolo,2018,2,5,17,28.5,235.3
Isiolo,2019,6,7,17,20.2,56.1
Isiolo,2020,3,6,16,38.5,119.7
Isiolo,2021,7,5,14,47.7,49.9
Isiolo,2022,7,8,17,45.5,218.9
Isiolo,2023,4,3,22,25.5,33.0
Isiolo,2024,3,9,22,30.5,124.2
Isiolo,2025,5,3,18,62.6,37.5
Kakamega,2000,1,0,3,14.0,135.1
Kakamega,2001,0,1,3,19.0,26.7
Kakamega,2002,5,3,4,27.4,121.0
Kakamega,2003,0,1,2,12.8,187.4
Kakamega,2004,3,2,7,34.5,90.6
Kakamega,2005,1,0,5,23.6,115.6
Kakamega,2006,1,0,10,27.6,35.1
Kakamega,2007,0,3,7,10.9,180.1
Kakamega,2008,1,0,5,46.8,217.9
Kakamega,2009,0,1,8,16.6,142.6
Kakamega,2010,0,2,10,15.4,23.7
Kakamega,2011,2,1,11,63.1,28.1
Kakamega,2012,0,0,11,5.2,160.6
Kakamega,2013,0,1,13,31.9,16.5
Kakamega,2014,1,1,13,26.0,198.1
Kakamega,2015,2,1,12,57.8,241.4
Kakamega,2016,1,1,16,46.2,153.4
Kakamega,2017,2,0,15,61.2,109.2
Kakamega,2018,1,2,12,59.1,142.6
Kakamega,2019,1,2,13,39.4,251.0
Kakamega,2020,5,0,21,33.8,176.3
Kakamega,2021,1,2,15,46.3,227.0
Kakamega,2022,1,0,20,6.7,164.4
Kakamega,2023,1,3,19,34.9,182.6
Kakamega,2024,1,3,18,17.8,145.7
Kakamega,2025,4,2,22,18.3,304.2
Bungoma,2000,3,0,3,27.5,5.3
Bungoma,2001,2,2,4,27.0,124.4
Bungoma,2002,1,1,1,5.9,138.7
Bungoma,2003,1,2,3,20.2,12.8
Bungoma,2004,1,3,6,18.4,124.8
Bungoma,2005,1,0,1,31.5,160.1
Bungoma,2006,0,1,8,18.2,68.8
Bungoma,2007,0,2,3,56.4,96.2
Bungoma,2008,0,2,6,56.7,235.8
Bungoma,2009,0,1,7,9.2,132.3
Bungoma,2010,0,4,10,12.6,189.4
Bungoma,2011,3,2,12,61.3,88.6
Bungoma,2012,0,3,11,35.3,42.6
Bungoma,2013,1,1,14,6.4,41.0
Bungoma,2014,1,1,15,64.7,158.2
Bungoma,2015,3,4,11,34.9,259.2
Bungoma,2016,1,3,15,64.3,129.5
Bungoma,2017,0,4,18,21.5,145.5
Bungoma,2018,1,0,14,12.3,107.1
Bungoma,2019,4,2,17,2.4,192.6
Bungoma,2020,1,1,17,8.3,76.9
Bungoma,2021,2,0,20,67.3,26.5
Bungoma,2022,1,0,21,30.5,268.3
Bungoma,2023,0,3,22,40.0,39.4
Bungoma,2024,1,0,23,68.7,55.5
Bungoma,2025,0,2,18,12.4,171.3
Mombasa,2000,2,0,0,37.6,198.7
Mombasa,2001,2,1,4,40.2,96.7
Mombasa,2002,0,2,0,51.4,147.6
Mombasa,2003,0,1,1,15.5,30.1
Mombasa,2004,3,2,1,21.5,41.8
Mombasa,2005,0,2,2,30.9,10.8
Mombasa,2006,0,1,3,43.4,201.1
Mombasa,2007,1,1,3,58.2,177.1
Mombasa,2008,1,1,4,44.8,232.5
Mombasa,2009,2,2,5,33.5,155.7
Mombasa,2010,2,0,9,30.8,206.7
Mombasa,2011,2,2,9,48.0,63.2
Mombasa,2012,0,1,12,48.6,219.3
Mombasa,2013,0,1,13,35.6,206.1
Mombasa,2014,1,0,9,25.0,197.4
Mombasa,2015,3,2,14,37.1,19.0
Mombasa,2016,2,0,17,63.5,272.0
Mombasa,2017,0,0,18,6.2,32.9
Mombasa,2018,2,1,13,40.5,157.9
Mombasa,2019,0,2,14,34.8,207.3
Mombasa,2020,1,2,17,25.8,172.3
Mombasa,2021,1,3,22,61.7,262.6
Mombasa,2022,1,1,15,48.9,210.9
Mombasa,2023,1,2,22,32.8,292.1
Mombasa,2024,2,2,20,65.5,139.1
Mombasa,2025,3,0,18,31.8,37.0
Busia,2000,2,2,0,47.9,82.4
Busia,2001,3,2,0,9.8,95.7
Busia,2002,2,1,5,50.4,91.3
Busia,2003,2,3,4,32.3,182.2
Busia,2004,4,0,4,24.1,86.7
Busia,2005,3,0,3,19.4,166.9
Busia,2006,2,1,10,43.8,149.7
Busia,2007,4,1,4,13.7,182.2
Busia,2008,5,2,6,14.9,210.8
Busia,2009,2,0,7,51.7,159.2
Busia,2010,3,2,8,41.0,188.2
Busia,2011,1,1,14,4.0,190.2
Busia,2012,3,1,7,29.5,127.7
Busia,2013,3,2,14,65.5,102.4
Busia,2014,4,1,10,45.8,224.9
Busia,2015,2,1,14,38.0,135.9
Busia,2016,4,2,11,32.8,159.3
Busia,2017,4,3,18,43.2,16.5
Busia,2018,3,3,18,59.3,140.0
Busia,2019,6,0,19,23.6,200.2
Busia,2020,4,6,18,23.4,205.7
Busia,2021,8,2,20,22.6,285.0
Busia,2022,1,0,15,61.0,294.0
Busia,2023,7,1,20,45.4,89.3
Busia,2024,10,1,18,38.9,62.2
Busia,2025,2,0,17,71.1,23.6
Mandera,2000,2,4,1,48.3,96.8
Mandera,2001,0,1,2,45.5,159.1
Mandera,2002,1,4,6,9.0,12.1
Mandera,2003,1,3,3,3.3,172.5
Mandera,2004,0,2,6,43.3,85.6
Mandera,2005,2,3,7,9.8,12.7
Mandera,2006,0,6,3,3.0,219.1
Mandera,2007,1,6,10,57.4,167.1
Mandera,2008,5,7,7,15.7,154.3
Mandera,2009,0,2,6,24.2,56.5
Mandera,2010,2,8,5,24.2,224.8
Mandera,2011,1,3,12,26.3,19.4
Mandera,2012,2,6,8,43.3,16.5
Mandera,2013,2,2,11,19.4,43.8
Mandera,2014,1,1,12,47.3,60.9
Mandera,2015,0,6,16,67.5,212.1
Mandera,2016,2,6,13,21.3,141.9
Mandera,2017,1,6,18,70.6,208.6
Mandera,2018,0,4,19,29.2,39.6
Mandera,2019,3,2,12,53.1,141.8
Mandera,2020,1,9,19,74.3,226.3
Mandera,2021,1,4,14,74.3,81.5
Mandera,2022,1,6,21,59.4,69.0
Mandera,2023,4,6,20,76.6,259.8
Mandera,2024,1,4,18,75.3,209.8
Mandera,2025,1,8,21,69.5,84.4
Nyeri,2000,1,1,4,22.2,81.1
Nyeri,2001,1,1,0,50.8,190.4
Nyeri,2002,2,0,2,50.2,105.2
Nyeri,2003,0,2,2,35.6,192.2
Nyeri,2004,0,1,1,37.1,137.6
Nyeri,2005,2,0,3,3.3,89.0
Nyeri,2006,0,1,5,40.3,143.2
Nyeri,2007,0,1,10,18.8,57.9
Nyeri,2008,0,0,8,56.7,210.2
Nyeri,2009,0,2,6,58.7,156.0
Nyeri,2010,0,3,6,15.2,108.4
Nyeri,2011,1,1,6,34.8,64.1
Nyeri,2012,1,1,8,16.2,159.6
Nyeri,2013,2,5,14,63.9,221.8
Nyeri,2014,1,0,11,32.8,118.3
Nyeri,2015,2,1,10,17.9,83.2
Nyeri,2016,1,1,11,25.7,272.8
Nyeri,2017,0,2,18,39.3,57.4
Nyeri,2018,0,3,19,16.6,66.0
Nyeri,2019,0,2,14,27.0,86.8
Nyeri,2020,3,2,15,22.2,147.7
Nyeri,2021,3,0,20,73.7,143.8
Nyeri,2022,1,2,21,24.5,68.5
Nyeri,2023,2,1,16,8.4,76.9
Nyeri,2024,2,0,19,34.7,178.0
Nyeri,2025,1,0,20,5.3,307.1
Trans Nzoia,2000,1,0,0,29.1,182.9
Trans Nzoia,2001,2,0,0,15.6,94.9
Trans Nzoia,2002,0,0,4,15.4,179.6
Trans Nzoia,2003,0,1,1,1.4,79.9
Trans Nzoia,2004,1,4,8,42.1,164.0
Trans Nzoia,2005,0,1,6,17.8,195.3
Trans Nzoia,2006,1,1,8,1.9,180.2
Trans Nzoia,2007,0,0,10,10.7,34.9
